name,prompt,negative_prompt
动态姿势,"dynamic angle, floating, holding,",
立绘法,"[(white-background:1.55)::5],",
面部强化,"detailed hair, glowing eyes,(cute face),wide eyed,long eyelashes,",
精致女孩,an extremely delicate and beautiful girl,
镜头虚化,"depth of field, blurry background, blurry foreground, ",
脸部增强,"delicate, beautiful, beautiful face, beautiful eyes, beautiful girl, delicate face, delicate girl,",
画面增强,"high resolution illustration, colorful, 8k wallpaper, highres",
光线增强,"(tyndall effect), Cinematic light, ray tracing",
详细水面,"(beautiful detailed water)",
远景背景,"(((distant))) , 3d background",
详细皮肤,"detailed skin, pale skin,(shiny skin:1.2)",
放开裙子,,"(grab clothes, grab dress, grab skirt)"
隐藏手掌,,"lower arms,hands,palms"
R18负面,,"nipples,pussy,nsfw"
长T恤,"t-shirt, long t-shirt, narrow waist t-shirt, t-shirt over hips, short dress","bare, nafw, sagging breast, crop top"
CounterFeit模型专用,"masterpiece, best quality",EasyNegative
橘子模型负面,,"(worst quality, low quality:1.4)"
